material,distance,rounds,shots,physical_error,logical_errors,logical_error_per_shot,logical_error_per_round
Ta/sapphire,3,3,60000,2.775838e-03,1049,1.748333e-02,5.897055e-03
Ta/sapphire,5,5,60000,2.775838e-03,763,1.271667e-02,2.569610e-03
Ta/sapphire,7,7,60000,2.775838e-03,522,8.700000e-03,1.252226e-03
Ta/sapphire,9,9,60000,2.775838e-03,308,5.133333e-03,5.729899e-04
Nb/Si,3,3,60000,4.715114e-03,1585,2.641667e-02,8.965350e-03
Nb/Si,5,5,60000,4.715114e-03,1277,2.128333e-02,4.331052e-03
Nb/Si,7,7,60000,4.715114e-03,985,1.641667e-02,2.378926e-03
Nb/Si,9,9,60000,4.715114e-03,644,1.073333e-02,1.204127e-03
Al (legacy),3,3,60000,8.488483e-03,2634,4.390000e-02,1.508380e-02
Al (legacy),5,5,60000,8.488483e-03,2423,4.038333e-02,8.351003e-03
Al (legacy),7,7,60000,8.488483e-03,2061,3.435000e-02,5.058086e-03
Al (legacy),9,9,60000,8.488483e-03,1865,3.108333e-02,3.553040e-03
Fluxonium,3,3,60000,1.843926e-03,1429,2.381667e-02,8.068386e-03
Fluxonium,5,5,60000,1.843926e-03,1052,1.753333e-02,3.556915e-03
Fluxonium,7,7,60000,1.843926e-03,752,1.253333e-02,1.810015e-03
Fluxonium,9,9,60000,1.843926e-03,464,7.733333e-03,8.652240e-04
Ideal-biased,3,3,60000,1.167648e-03,581,9.683333e-03,3.248842e-03
Ideal-biased,5,5,60000,1.167648e-03,400,6.666667e-03,1.340502e-03
Ideal-biased,7,7,60000,1.167648e-03,252,4.200000e-03,6.021713e-04
Ideal-biased,9,9,60000,1.167648e-03,144,2.400000e-03,2.672373e-04
